,Date&Time,sensorID,Type,Location,Event
100,12/06/22 22:00:45,V-01,Rpi Camera,somehwere,1
101,12/06/22 22:00:53,V-01,Rpi Camera,somehwere,1
102,12/06/22 22:01:02,V-01,Rpi Camera,somehwere,1
103,13/06/22 09:31:31,S-01,Sonar,Desktop 1,ERROR
104,13/06/22 09:31:32,S-02,Sonar,sada,ERROR
105,13/06/22 09:31:33,S-03,Sonar,Desktop 3,ERROR
106,13/06/22 09:31:34,S-04,Sonar,desktop 4,ERROR
107,13/06/22 09:31:36,S-05,Sonar,sada,ERROR
108,13/06/22 09:31:47,S-01,Sonar,Desktop 1,ERROR
109,13/06/22 09:31:49,S-02,Sonar,sada,ERROR
110,13/06/22 09:31:50,S-03,Sonar,Desktop 3,ERROR
111,13/06/22 09:31:51,S-04,Sonar,desktop 4,ERROR
112,13/06/22 09:31:52,S-05,Sonar,sada,ERROR
113,13/06/22 09:32:20,S-01,Sonar,Desktop 1,ERROR
114,13/06/22 09:33:00,S-06,Sonar,Under the table,ERROR
115,13/06/22 09:33:01,S-07,Sonar,שולחן עבודה,ERROR
116,13/06/22 09:33:02,S-08,Sonar,Desktop,ERROR
117,13/06/22 09:33:04,S-09,Sonar,Desktop,ERROR
118,13/06/22 09:33:05,S-10,Sonar,Desktop,ERROR
119,13/06/22 09:33:16,S-06,Sonar,Under the table,ERROR
120,13/06/22 09:33:18,S-07,Sonar,שולחן עבודה,ERROR
121,13/06/22 09:33:19,S-08,Sonar,Desktop,ERROR
122,13/06/22 09:33:20,S-09,Sonar,Desktop,ERROR
123,13/06/22 09:33:21,S-10,Sonar,Desktop,ERROR
124,13/06/22 09:33:33,S-06,Sonar,Under the table,ERROR
125,13/06/22 09:33:34,S-07,Sonar,שולחן עבודה,ERROR
126,13/06/22 09:33:35,S-08,Sonar,Desktop,ERROR
127,13/06/22 09:33:37,S-09,Sonar,Desktop,ERROR
128,13/06/22 09:34:47,S-06,Sonar,Under the table,ERROR
129,13/06/22 09:34:49,S-07,Sonar,שולחן עבודה,ERROR
130,13/06/22 09:34:52,S-08,Sonar,Desktop,ERROR
131,13/06/22 09:34:53,S-09,Sonar,Desktop,ERROR
132,13/06/22 09:56:18,S-06,Sonar,Under the table,YES
133,13/06/22 09:56:20,S-07,Sonar,שולחן עבודה,ERROR
134,13/06/22 09:56:21,S-08,Sonar,Desktop,YES
135,13/06/22 09:56:22,S-09,Sonar,Desktop,ERROR
136,13/06/22 09:56:23,S-10,Sonar,Desktop,ERROR
137,13/06/22 10:22:10,S-06,Sonar,Under the table,YES
138,13/06/22 10:22:11,S-07,Sonar,שולחן עבודה,ERROR
139,13/06/22 10:22:12,S-08,Sonar,Desktop,ERROR
140,13/06/22 10:22:14,S-09,Sonar,Desktop,ERROR
141,13/06/22 10:22:15,S-10,Sonar,Desktop,NO
142,13/06/22 10:22:27,S-06,Sonar,Under the table,ERROR
143,13/06/22 10:22:29,S-07,Sonar,שולחן עבודה,ERROR
144,13/06/22 10:22:30,S-08,Sonar,Desktop,ERROR
145,13/06/22 10:22:31,S-09,Sonar,Desktop,ERROR
146,13/06/22 10:22:32,S-10,Sonar,Desktop,NO
147,13/06/22 10:22:44,S-06,Sonar,Under the table,ERROR
148,13/06/22 10:22:45,S-07,Sonar,שולחן עבודה,ERROR
149,13/06/22 10:22:46,S-08,Sonar,Desktop,ERROR
150,13/06/22 10:22:48,S-09,Sonar,Desktop,ERROR
151,13/06/22 10:22:49,S-10,Sonar,Desktop,NO
152,13/06/22 10:23:01,S-06,Sonar,Under the table,YES
153,13/06/22 10:23:02,S-07,Sonar,שולחן עבודה,ERROR
154,13/06/22 10:23:03,S-08,Sonar,Desktop,ERROR
155,13/06/22 10:23:04,S-09,Sonar,Desktop,ERROR
156,13/06/22 10:23:06,S-10,Sonar,Desktop,NO
157,13/06/22 10:23:42,S-06,Sonar,Under the table,ERROR
158,13/06/22 10:23:43,S-07,Sonar,שולחן עבודה,ERROR
159,13/06/22 10:23:44,S-08,Sonar,Desktop,ERROR
160,13/06/22 10:23:45,S-09,Sonar,Desktop,NO
161,13/06/22 10:23:46,S-10,Sonar,Desktop,NO
162,13/06/22 10:23:58,S-06,Sonar,Under the table,YES
163,13/06/22 10:23:59,S-07,Sonar,שולחן עבודה,ERROR
164,13/06/22 10:24:01,S-08,Sonar,Desktop,ERROR
165,13/06/22 10:24:02,S-09,Sonar,Desktop,YES
166,13/06/22 10:24:03,S-10,Sonar,Desktop,NO
167,13/06/22 10:24:16,S-06,Sonar,Under the table,ERROR
168,13/06/22 10:24:17,S-07,Sonar,שולחן עבודה,ERROR
169,13/06/22 10:24:18,S-08,Sonar,Desktop,ERROR
170,13/06/22 10:24:20,S-09,Sonar,Desktop,ERROR
171,13/06/22 10:24:21,S-10,Sonar,Desktop,NO
172,13/06/22 10:24:34,S-06,Sonar,Under the table,ERROR
173,13/06/22 10:24:36,S-07,Sonar,שולחן עבודה,ERROR
174,13/06/22 10:24:37,S-08,Sonar,Desktop,ERROR
175,13/06/22 10:24:59,S-06,Sonar,Under the table,ERROR
176,13/06/22 10:25:00,S-07,Sonar,שולחן עבודה,ERROR
177,13/06/22 10:25:01,S-08,Sonar,Desktop,ERROR
178,13/06/22 10:25:03,S-09,Sonar,Desktop,ERROR
179,13/06/22 10:25:04,S-10,Sonar,Desktop,NO
180,13/06/22 10:25:17,S-06,Sonar,Under the table,ERROR
181,13/06/22 10:25:18,S-07,Sonar,שולחן עבודה,ERROR
182,13/06/22 10:25:19,S-08,Sonar,Desktop,ERROR
183,13/06/22 10:25:20,S-09,Sonar,Desktop,ERROR
184,13/06/22 10:25:22,S-10,Sonar,Desktop,YES
185,13/06/22 10:25:35,S-06,Sonar,Under the table,ERROR
186,13/06/22 10:25:37,S-07,Sonar,שולחן עבודה,ERROR
187,13/06/22 10:25:38,S-08,Sonar,Desktop,ERROR
188,13/06/22 10:25:39,S-09,Sonar,Desktop,ERROR
189,13/06/22 10:25:40,S-10,Sonar,Desktop,NO
190,13/06/22 10:25:52,S-06,Sonar,Under the table,ERROR
191,13/06/22 10:25:53,S-07,Sonar,שולחן עבודה,ERROR
192,13/06/22 10:25:55,S-08,Sonar,Desktop,ERROR
193,13/06/22 10:25:56,S-09,Sonar,Desktop,ERROR
194,13/06/22 10:25:57,S-10,Sonar,Desktop,NO
195,13/06/22 10:26:09,S-06,Sonar,Under the table,ERROR
196,13/06/22 10:26:10,S-07,Sonar,שולחן עבודה,ERROR
197,13/06/22 10:26:11,S-08,Sonar,Desktop,ERROR
198,13/06/22 10:26:13,S-10,Sonar,Desktop,NO
199,13/06/22 10:26:27,S-06,Sonar,Under the table,ERROR
200,13/06/22 10:26:28,S-07,Sonar,שולחן עבודה,ERROR
201,13/06/22 10:26:29,S-08,Sonar,Desktop,ERROR
202,13/06/22 10:26:30,S-09,Sonar,Desktop,ERROR
203,13/06/22 10:26:31,S-10,Sonar,Desktop,NO
204,13/06/22 10:26:43,S-06,Sonar,Under the table,YES
205,13/06/22 10:26:45,S-07,Sonar,שולחן עבודה,ERROR
206,13/06/22 10:26:46,S-08,Sonar,Desktop,ERROR
207,13/06/22 10:26:47,S-09,Sonar,Desktop,ERROR
208,13/06/22 10:26:49,S-10,Sonar,Desktop,NO
209,13/06/22 10:27:01,S-06,Sonar,Under the table,YES
210,13/06/22 10:27:02,S-07,Sonar,שולחן עבודה,ERROR
211,13/06/22 10:27:03,S-08,Sonar,Desktop,ERROR
212,13/06/22 10:27:04,S-09,Sonar,Desktop,ERROR
213,13/06/22 10:27:05,S-10,Sonar,Desktop,YES
214,13/06/22 10:27:17,S-06,Sonar,Under the table,ERROR
215,13/06/22 10:27:18,S-06,Sonar,Under the table,ERROR
216,13/06/22 10:27:18,S-07,Sonar,שולחן עבודה,ERROR
217,13/06/22 10:27:19,S-07,Sonar,שולחן עבודה,ERROR
218,13/06/22 10:27:19,S-08,Sonar,Desktop,ERROR
219,13/06/22 10:27:20,S-08,Sonar,Desktop,ERROR
220,13/06/22 10:27:21,S-09,Sonar,Desktop,ERROR
221,13/06/22 10:27:22,S-09,Sonar,Desktop,ERROR
222,13/06/22 10:27:22,S-10,Sonar,Desktop,NO
223,13/06/22 10:27:23,S-10,Sonar,Desktop,ERROR
224,13/06/22 10:27:35,S-06,Sonar,Under the table,YES
225,13/06/22 10:27:36,S-07,Sonar,שולחן עבודה,ERROR
226,13/06/22 10:27:37,S-08,Sonar,Desktop,ERROR
227,13/06/22 10:27:38,S-09,Sonar,Desktop,ERROR
228,13/06/22 10:27:39,S-10,Sonar,Desktop,ERROR
229,13/06/22 10:27:48,S-09,Sonar,Desktop,ERROR
230,13/06/22 10:27:50,S-06,Sonar,Under the table,ERROR
231,13/06/22 10:27:50,S-10,Sonar,Desktop,NO
232,13/06/22 10:27:51,S-07,Sonar,שולחן עבודה,ERROR
233,13/06/22 10:27:53,S-08,Sonar,Desktop,ERROR
234,13/06/22 10:27:54,S-09,Sonar,Desktop,ERROR
235,13/06/22 10:27:55,S-10,Sonar,Desktop,ERROR
236,13/06/22 10:28:02,S-06,Sonar,Under the table,ERROR
237,13/06/22 10:28:04,S-07,Sonar,שולחן עבודה,ERROR
238,13/06/22 10:28:05,S-08,Sonar,Desktop,ERROR
239,13/06/22 10:28:06,S-09,Sonar,Desktop,ERROR
240,13/06/22 10:28:08,S-10,Sonar,Desktop,NO
241,13/06/22 10:28:20,S-06,Sonar,Under the table,YES
242,13/06/22 10:28:21,S-07,Sonar,שולחן עבודה,ERROR
243,13/06/22 10:28:22,S-08,Sonar,Desktop,ERROR
244,13/06/22 10:28:23,S-09,Sonar,Desktop,ERROR
245,13/06/22 10:28:26,S-10,Sonar,Desktop,NO
246,13/06/22 10:28:38,S-06,Sonar,Under the table,YES
247,13/06/22 10:28:39,D-01,OpenMV Camera,Desktop,
248,13/06/22 10:28:39,S-07,Sonar,שולחן עבודה,ERROR
249,13/06/22 10:28:40,S-08,Sonar,Desktop,ERROR
250,13/06/22 10:28:41,S-09,Sonar,Desktop,ERROR
251,13/06/22 10:28:42,S-10,Sonar,Desktop,NO
252,13/06/22 10:28:43,D-01,OpenMV Camera,Desktop,
253,13/06/22 10:28:55,S-06,Sonar,Under the table,YES
254,13/06/22 10:28:56,S-07,Sonar,שולחן עבודה,ERROR
255,13/06/22 10:28:57,S-08,Sonar,Desktop,ERROR
256,13/06/22 10:28:59,S-09,Sonar,Desktop,ERROR
257,13/06/22 10:29:00,S-10,Sonar,Desktop,NO
258,13/06/22 10:29:12,S-06,Sonar,Under the table,ERROR
259,13/06/22 10:29:13,S-07,Sonar,שולחן עבודה,ERROR
260,13/06/22 10:29:14,S-08,Sonar,Desktop,ERROR
261,13/06/22 10:29:16,S-09,Sonar,Desktop,ERROR
262,13/06/22 10:29:17,S-10,Sonar,Desktop,NO
263,13/06/22 10:29:29,S-06,Sonar,Under the table,ERROR
264,13/06/22 10:29:30,S-07,Sonar,שולחן עבודה,ERROR
265,13/06/22 10:29:32,S-08,Sonar,Desktop,ERROR
266,13/06/22 10:29:33,S-09,Sonar,Desktop,ERROR
267,13/06/22 10:29:34,S-10,Sonar,Desktop,NO
268,13/06/22 10:29:47,S-06,Sonar,Under the table,ERROR
269,13/06/22 10:29:48,S-07,Sonar,שולחן עבודה,ERROR
270,13/06/22 10:29:49,S-08,Sonar,Desktop,ERROR
271,13/06/22 10:29:50,S-09,Sonar,Desktop,ERROR
272,13/06/22 10:29:52,S-10,Sonar,Desktop,NO
273,13/06/22 10:30:04,S-06,Sonar,Under the table,ERROR
274,13/06/22 10:30:05,S-07,Sonar,שולחן עבודה,ERROR
275,13/06/22 10:30:06,S-08,Sonar,Desktop,ERROR
276,13/06/22 10:30:08,S-09,Sonar,Desktop,ERROR
277,13/06/22 10:30:09,S-10,Sonar,Desktop,NO
278,13/06/22 10:30:21,S-06,Sonar,Under the table,ERROR
279,13/06/22 10:30:22,S-07,Sonar,שולחן עבודה,ERROR
280,13/06/22 10:30:24,S-08,Sonar,Desktop,ERROR
281,13/06/22 10:30:25,S-09,Sonar,Desktop,ERROR
282,13/06/22 10:30:26,S-10,Sonar,Desktop,NO
283,13/06/22 10:30:38,S-06,Sonar,Under the table,ERROR
284,13/06/22 10:30:39,S-07,Sonar,שולחן עבודה,ERROR
285,13/06/22 10:30:41,S-08,Sonar,Desktop,ERROR
286,13/06/22 10:30:42,S-09,Sonar,Desktop,ERROR
287,13/06/22 10:30:43,S-10,Sonar,Desktop,NO
288,13/06/22 10:30:56,S-06,Sonar,Under the table,YES
289,13/06/22 10:30:57,S-07,Sonar,שולחן עבודה,ERROR
290,13/06/22 10:30:58,S-08,Sonar,Desktop,ERROR
291,13/06/22 10:30:59,S-09,Sonar,Desktop,ERROR
292,13/06/22 10:31:00,S-10,Sonar,Desktop,NO
293,13/06/22 10:31:13,S-06,Sonar,Under the table,ERROR
294,13/06/22 10:31:14,S-07,Sonar,שולחן עבודה,ERROR
295,13/06/22 10:31:16,S-08,Sonar,Desktop,ERROR
296,13/06/22 10:31:17,S-09,Sonar,Desktop,ERROR
297,13/06/22 10:31:18,S-10,Sonar,Desktop,YES
298,13/06/22 10:31:30,S-06,Sonar,Under the table,YES
299,13/06/22 10:31:32,S-07,Sonar,שולחן עבודה,ERROR
300,13/06/22 10:31:33,S-08,Sonar,Desktop,ERROR
301,13/06/22 10:31:34,S-09,Sonar,Desktop,ERROR
302,13/06/22 10:31:35,S-10,Sonar,Desktop,NO
303,13/06/22 10:31:47,S-06,Sonar,Under the table,YES
304,13/06/22 10:31:48,S-07,Sonar,שולחן עבודה,ERROR
305,13/06/22 10:31:49,S-08,Sonar,Desktop,ERROR
306,13/06/22 10:31:51,S-09,Sonar,Desktop,YES
307,13/06/22 10:31:52,S-10,Sonar,Desktop,NO
308,13/06/22 10:32:04,S-06,Sonar,Under the table,YES
309,13/06/22 10:32:06,S-07,Sonar,שולחן עבודה,ERROR
310,13/06/22 10:32:07,S-08,Sonar,Desktop,ERROR
311,13/06/22 10:32:08,S-09,Sonar,Desktop,ERROR
312,13/06/22 10:32:09,S-10,Sonar,Desktop,NO
313,13/06/22 10:32:22,S-06,Sonar,Under the table,ERROR
314,13/06/22 10:32:23,S-07,Sonar,שולחן עבודה,ERROR
315,13/06/22 10:32:24,S-08,Sonar,Desktop,ERROR
316,13/06/22 10:32:25,S-09,Sonar,Desktop,ERROR
317,13/06/22 10:32:27,S-10,Sonar,Desktop,NO
318,13/06/22 10:32:39,S-06,Sonar,Under the table,YES
319,13/06/22 10:32:40,S-07,Sonar,שולחן עבודה,ERROR
320,13/06/22 10:32:41,S-08,Sonar,Desktop,ERROR
321,13/06/22 10:32:42,S-09,Sonar,Desktop,ERROR
322,13/06/22 10:32:43,S-10,Sonar,Desktop,NO
323,13/06/22 10:32:55,S-06,Sonar,Under the table,YES
324,13/06/22 10:32:57,S-07,Sonar,שולחן עבודה,ERROR
325,13/06/22 10:32:58,S-08,Sonar,Desktop,ERROR
326,13/06/22 10:32:59,S-09,Sonar,Desktop,ERROR
327,13/06/22 10:33:00,S-10,Sonar,Desktop,NO
328,13/06/22 10:33:13,S-06,Sonar,Under the table,YES
329,13/06/22 10:33:14,S-07,Sonar,שולחן עבודה,ERROR
330,13/06/22 10:33:15,S-08,Sonar,Desktop,ERROR
331,13/06/22 10:33:16,S-09,Sonar,Desktop,ERROR
332,13/06/22 10:33:17,S-10,Sonar,Desktop,NO
333,13/06/22 10:33:31,S-06,Sonar,Under the table,ERROR
334,13/06/22 10:33:32,S-07,Sonar,שולחן עבודה,ERROR
335,13/06/22 10:33:33,S-08,Sonar,Desktop,ERROR
336,13/06/22 10:33:34,S-09,Sonar,Desktop,ERROR
337,13/06/22 10:33:35,S-10,Sonar,Desktop,NO
338,13/06/22 10:33:48,S-06,Sonar,Under the table,YES
339,13/06/22 10:33:49,S-07,Sonar,שולחן עבודה,ERROR
340,13/06/22 10:33:50,S-08,Sonar,Desktop,ERROR
341,13/06/22 10:33:51,S-09,Sonar,Desktop,ERROR
342,13/06/22 10:33:52,S-10,Sonar,Desktop,NO
343,13/06/22 10:34:05,S-06,Sonar,Under the table,ERROR
344,13/06/22 10:34:06,S-07,Sonar,שולחן עבודה,ERROR
345,13/06/22 10:34:08,S-08,Sonar,Desktop,ERROR
346,13/06/22 10:34:09,S-09,Sonar,Desktop,ERROR
347,13/06/22 10:34:11,S-10,Sonar,Desktop,NO
348,13/06/22 10:34:23,S-06,Sonar,Under the table,YES
349,13/06/22 10:34:24,S-07,Sonar,שולחן עבודה,ERROR
350,13/06/22 10:34:25,S-08,Sonar,Desktop,ERROR
351,13/06/22 10:34:26,S-09,Sonar,Desktop,ERROR
352,13/06/22 10:34:29,S-10,Sonar,Desktop,NO
353,13/06/22 10:34:41,S-06,Sonar,Under the table,YES
354,13/06/22 10:34:42,S-07,Sonar,שולחן עבודה,ERROR
355,13/06/22 10:34:43,S-08,Sonar,Desktop,ERROR
356,13/06/22 10:34:54,S-09,Sonar,Desktop,ERROR
357,13/06/22 10:34:57,S-10,Sonar,Desktop,NO
358,13/06/22 10:35:09,S-06,Sonar,Under the table,YES
359,13/06/22 10:35:11,S-07,Sonar,שולחן עבודה,ERROR
360,13/06/22 10:35:12,S-08,Sonar,Desktop,ERROR
361,13/06/22 10:35:13,S-09,Sonar,Desktop,ERROR
362,13/06/22 10:35:14,S-10,Sonar,Desktop,NO
363,13/06/22 10:35:27,S-06,Sonar,Under the table,YES
364,13/06/22 10:35:28,S-07,Sonar,שולחן עבודה,ERROR
365,13/06/22 10:35:29,S-08,Sonar,Desktop,ERROR
366,13/06/22 10:35:30,S-09,Sonar,Desktop,ERROR
367,13/06/22 10:35:31,S-10,Sonar,Desktop,NO
368,13/06/22 10:35:43,S-06,Sonar,Under the table,YES
369,13/06/22 10:35:45,S-07,Sonar,שולחן עבודה,ERROR
370,13/06/22 10:35:46,S-08,Sonar,Desktop,ERROR
371,13/06/22 10:35:47,S-09,Sonar,Desktop,ERROR
372,13/06/22 10:35:48,S-10,Sonar,Desktop,NO
373,13/06/22 10:36:00,S-06,Sonar,Under the table,ERROR
374,13/06/22 10:36:02,S-07,Sonar,שולחן עבודה,ERROR
375,13/06/22 10:36:04,S-08,Sonar,Desktop,ERROR
376,13/06/22 10:36:05,S-09,Sonar,Desktop,ERROR
377,13/06/22 10:36:06,S-10,Sonar,Desktop,NO
378,13/06/22 10:36:18,S-06,Sonar,Under the table,YES
379,13/06/22 10:36:19,S-07,Sonar,שולחן עבודה,ERROR
380,13/06/22 10:36:20,S-08,Sonar,Desktop,ERROR
381,13/06/22 10:36:22,S-09,Sonar,Desktop,ERROR
382,13/06/22 10:36:23,S-10,Sonar,Desktop,NO
383,13/06/22 10:36:35,S-06,Sonar,Under the table,ERROR
384,13/06/22 10:36:37,S-07,Sonar,שולחן עבודה,ERROR
385,13/06/22 10:36:38,S-08,Sonar,Desktop,ERROR
386,13/06/22 10:36:39,S-09,Sonar,Desktop,ERROR
387,13/06/22 10:36:41,S-10,Sonar,Desktop,NO
388,13/06/22 10:36:53,S-06,Sonar,Under the table,ERROR
389,13/06/22 10:36:54,S-07,Sonar,שולחן עבודה,ERROR
390,13/06/22 10:36:55,S-08,Sonar,Desktop,ERROR
391,13/06/22 10:36:56,S-09,Sonar,Desktop,ERROR
392,13/06/22 10:36:57,S-10,Sonar,Desktop,NO
393,13/06/22 10:37:09,S-06,Sonar,Under the table,YES
394,13/06/22 10:37:10,S-07,Sonar,שולחן עבודה,ERROR
395,13/06/22 10:37:12,S-08,Sonar,Desktop,ERROR
396,13/06/22 10:37:13,S-09,Sonar,Desktop,ERROR
397,13/06/22 10:37:14,S-10,Sonar,Desktop,NO
398,13/06/22 10:37:26,S-06,Sonar,Under the table,YES
399,13/06/22 10:37:28,S-07,Sonar,שולחן עבודה,ERROR
400,13/06/22 10:37:29,S-08,Sonar,Desktop,ERROR
401,13/06/22 10:37:30,S-09,Sonar,Desktop,ERROR
402,13/06/22 10:37:31,S-10,Sonar,Desktop,NO
403,13/06/22 10:37:43,S-06,Sonar,Under the table,YES
404,13/06/22 10:37:44,S-07,Sonar,שולחן עבודה,ERROR
405,13/06/22 10:37:48,S-08,Sonar,Desktop,ERROR
406,13/06/22 10:37:49,S-09,Sonar,Desktop,ERROR
407,13/06/22 10:37:51,S-10,Sonar,Desktop,NO
408,13/06/22 10:38:03,S-06,Sonar,Under the table,YES
409,13/06/22 10:38:04,S-07,Sonar,שולחן עבודה,ERROR
410,13/06/22 10:38:05,S-08,Sonar,Desktop,ERROR
411,13/06/22 10:38:06,S-09,Sonar,Desktop,ERROR
412,13/06/22 10:38:07,S-10,Sonar,Desktop,YES
413,13/06/22 10:38:19,S-06,Sonar,Under the table,YES
414,13/06/22 10:38:20,S-07,Sonar,שולחן עבודה,ERROR
415,13/06/22 10:38:22,S-08,Sonar,Desktop,ERROR
416,13/06/22 10:38:23,S-09,Sonar,Desktop,ERROR
417,13/06/22 10:38:24,S-10,Sonar,Desktop,YES
418,13/06/22 10:38:36,S-06,Sonar,Under the table,YES
419,13/06/22 10:38:38,S-07,Sonar,שולחן עבודה,ERROR
420,13/06/22 10:38:39,S-08,Sonar,Desktop,ERROR
421,13/06/22 10:38:40,S-09,Sonar,Desktop,ERROR
422,13/06/22 10:38:42,S-10,Sonar,Desktop,NO
423,13/06/22 10:38:54,S-06,Sonar,Under the table,ERROR
424,13/06/22 10:38:55,S-07,Sonar,שולחן עבודה,ERROR
425,13/06/22 10:38:56,S-08,Sonar,Desktop,ERROR
